date,season,home_team,away_team,home_score,away_score,venue
2019-04-13,2019,North Carolina Courage,Chicago Stars FC,1,1,WakeMed Soccer Park
2019-04-13,2019,Washington Spirit,Gotham FC,2,0,Maryland SoccerPlex
2019-04-14,2019,Orlando Pride,Portland Thorns FC,0,2,Inter&Co Stadium
2019-04-14,2019,Houston Dash,Seattle Reign FC,1,1,Shell Energy Stadium
2019-04-17,2019,North Carolina Courage,Orlando Pride,5,0,WakeMed Soccer Park
2019-04-20,2019,Chicago Stars FC,Portland Thorns FC,4,4,SeatGeek Stadium
2019-04-20,2019,Gotham FC,Houston Dash,0,1,RWJBarnabas Health Stadium at Yurcak Field
2019-04-21,2019,Utah Royals FC,Washington Spirit,1,0,America First Field
2019-04-22,2019,Seattle Reign FC,Orlando Pride,1,1,Cheney Stadium
2019-04-27,2019,Orlando Pride,Utah Royals FC,0,1,Inter&Co Stadium
2019-04-28,2019,Chicago Stars FC,Seattle Reign FC,3,0,SeatGeek Stadium
2019-04-28,2019,Gotham FC,Portland Thorns FC,2,2,RWJBarnabas Health Stadium at Yurcak Field
2019-04-28,2019,Houston Dash,North Carolina Courage,1,4,Shell Energy Stadium
2019-05-04,2019,North Carolina Courage,Gotham FC,0,0,WakeMed Soccer Park
2019-05-04,2019,Washington Spirit,Seattle Reign FC,0,0,Maryland SoccerPlex
2019-05-04,2019,Utah Royals FC,Chicago Stars FC,1,0,America First Field
2019-05-05,2019,Houston Dash,Orlando Pride,1,0,Shell Energy Stadium
2019-05-11,2019,Gotham FC,Washington Spirit,2,3,RWJBarnabas Health Stadium at Yurcak Field
2019-05-11,2019,Utah Royals FC,Houston Dash,1,2,America First Field
2019-05-11,2019,Orlando Pride,Portland Thorns FC,1,3,Inter&Co Stadium
2019-05-12,2019,Chicago Stars FC,North Carolina Courage,3,1,SeatGeek Stadium
2019-05-18,2019,Seattle Reign FC,Gotham FC,2,1,Cheney Stadium
2019-05-18,2019,Washington Spirit,Portland Thorns FC,3,1,Maryland SoccerPlex
2019-05-19,2019,North Carolina Courage,Utah Royals FC,1,1,WakeMed Soccer Park
2019-05-19,2019,Houston Dash,Chicago Stars FC,1,2,Shell Energy Stadium
2019-05-25,2019,Gotham FC,Portland Thorns FC,0,1,RWJBarnabas Health Stadium at Yurcak Field
2019-05-26,2019,Utah Royals FC,Orlando Pride,2,0,America First Field
2019-05-26,2019,Chicago Stars FC,Washington Spirit,0,2,SeatGeek Stadium
