team,current_points,current_gd,playoff_pct,projected_final_points
Washington Spirit,33.0,13.0,99.91,58.2057
Gotham FC,31.0,9.0,99.53999999999999,55.0219
Kansas City Current,25.0,0.0,97.96000000000001,52.2363
Portland Thorns FC,28.0,7.0,95.11,49.7843
San Diego Wave FC,29.0,4.0,89.33,48.1627
Utah Royals FC,30.0,9.0,87.25,47.5942
Denver Summit FC,19.0,1.0,60.980000000000004,43.2448
Seattle Reign FC,20.0,-2.0,56.49999999999999,43.0358
Orlando Pride,23.0,1.0,42.59,41.276
Angel City FC,22.0,7.0,32.33,39.8626
North Carolina Courage,21.0,-2.0,26.93,39.3824
Houston Dash,19.0,-5.0,5.6899999999999995,34.8519
Bay FC,18.0,-4.0,2.6100000000000003,32.9249
Boston Legacy FC,19.0,-5.0,2.34,32.8372
Racing Louisville FC,11.0,-10.0,0.9199999999999999,29.7629
Chicago Stars FC,12.0,-23.0,0.01,22.728
