date,home_team,away_team,home_win_pct,draw_pct,away_win_pct
2026-07-30T00:00Z,Kansas City Current,Racing Louisville FC,67.9,18.9,13.2
2026-07-30T01:00Z,Utah Royals FC,Washington Spirit,27.3,25.3,47.4
2026-07-30T02:00Z,Bay FC,Gotham FC,19.2,27.9,53.0
2026-08-01T00:00Z,North Carolina Courage,Orlando Pride,35.3,26.2,38.5
2026-08-01T20:00Z,Racing Louisville FC,Chicago Stars FC,61.7,19.9,18.4
2026-08-01T22:30Z,Kansas City Current,Angel City FC,63.9,21.1,15.0
2026-08-02T00:00Z,Houston Dash,Gotham FC,20.9,27.9,51.2
2026-08-02T00:45Z,Bay FC,Seattle Reign FC,28.8,28.6,42.7
2026-08-02T20:00Z,Washington Spirit,San Diego Wave FC,49.7,24.9,25.4
2026-08-02T23:00Z,Utah Royals FC,Portland Thorns FC,31.3,26.2,42.4
2026-08-03T01:00Z,Denver Summit FC,Boston Legacy FC,55.7,23.4,20.9
